算法,节点数,边数,最大入度,最大出度,平均度数
PC算法,15,4,1,1,0.53
爬山算法,15,19,2,4,2.53
贪婪等价搜索,15,19,2,4,2.53
树搜索,15,26,2,14,3.47
专家在循环,14,0,0,0,0.0
