,PC算法,爬山算法,贪婪等价搜索,树搜索,专家在循环
PC算法,107.0,48.0,42.0,30.0,15.0
爬山算法,48.0,423.0,223.0,94.0,26.0
贪婪等价搜索,42.0,223.0,429.0,107.0,32.0
树搜索,30.0,94.0,107.0,296.0,18.0
专家在循环,15.0,26.0,32.0,18.0,88.0
